timestamp,userId,nick,twitter,dob,country
2012-06-19 14:53:41,442,pcjIOBKW,@SZhyOHv,1994-07-20,BA
2012-06-19 19:29:01,949,vAOfUkf,@nkkNo,1971-04-22,HU
2012-06-20 19:34:59,1654,qOOXSQ,@SwOlw,1970-04-19,IS
2012-06-21 01:18:29,1586,px4gW51,@IrCHTnE,1965-11-23,AM
2012-06-21 15:35:00,599,9gkfwRC73Uc,@VJj0Az,1994-08-23,CC
2012-06-22 11:36:19,952,BRbb3VOTti,@b4OK6K,1986-09-11,MH
2012-06-23 08:11:18,1056,fGCIAtI,@IgDsdWdU,1991-11-28,SM
2012-06-23 10:54:19,91,tpDfgi3S0N9,@LvTHGO,1977-07-03,BZ
2012-06-23 14:59:26,809,LkNRpRW6Ez,@ROrRkXwdh,1951-09-25,PF
2012-06-23 17:40:35,75,fNWewX,@OXqLyv,1979-11-12,JO
2012-06-23 17:57:05,2224,rvXvUU9J,@YexGCPm,1996-08-27,GW
2012-06-24 05:29:24,361,Pk8oT6o,@9YksF,1980-10-18,CK
2012-06-24 23:33:59,584,TBRJ3YueQCa,@QsYLb,1957-02-17,MD
2012-06-25 01:48:50,295,zBxoWozeDlB,@An4tm5np,1977-03-02,HK
2012-06-25 02:01:25,1493,GnvF8P,@KnN5TLT,1979-10-05,QA
2012-06-25 06:38:10,1605,m7eHxdgoz,@tcfAzJ3m,1981-10-23,ZA
2012-06-25 15:04:21,848,ZWIRmprJd,@qrP2pQcE,1989-06-20,SE
2012-06-25 16:53:28,962,19aggoZfQ,@u5Smf32,1949-08-12,MM
2012-06-26 15:12:33,2034,olBz6o3Ulg,@lxLPvLKK,1983-12-04,FO
2012-06-26 22:42:21,379,R1Mk1AVrv,@UGHdE,1980-05-03,DJ
2012-06-27 05:25:51,637,hIbqae,@iklm7,1984-10-05,TH
2012-06-27 18:04:13,1203,3KofTi,@4jOvsI2Pl,1957-06-09,RO
2012-06-28 05:46:19,2029,InrOc0z,@2Ks5q,1978-03-28,IE
